"age","gender","height","weight","weekly_km","country","shoe_brand","marathons_xp","personal_best","injured_prev_mth","injured_prev_qtr","injured_prev_hy"
28,"Female",173,68,41,"Australia","Nike",1,323,0,0,1
36,"Female",175,72,60,"USA","Brooks",2,251,0,0,0
24,"Male",162,71,21,"US","Brooks",4,261,0,0,0
27,"Female",163,65,17,"US","Nike",1,247,0,0,0
34,"Male",179,83,30,"United States","Saucony",2,258,0,0,0
44,"Male",196,89,24,"Australia","Saucony",2,373,0,0,0
24,"Male",143,54,54,"US","Saucony",2,286,0,0,1
30,"Female",191,87,33,"Australia","Asics",3,284,0,0,0
24,"Female",163,65,38,"Australia","Asics",3,NA,0,0,1
20,"Male",154,58,37,"US","Brooks",1,241,1,1,1
26,"Female",142,54,17,"Australia","Nike",1,253,0,0,0
33,"Female",160,66,39,"US","Asics",3,235,0,0,0
34,"Male",166,72,42,"Australia","Saucony",4,285,0,1,1
25,"Male",168,72,51,"Australia","Adidas",2,313,0,0,0
28,"Male",170,74,21,"Australia","Asics",4,272,0,0,0
29,"Female",157,60,57,"Japan","Brooks",1,324,1,1,1
29,"Male",165,71,30,"Australia","Asics",0,NA,0,0,0
23,"Male",170,68,69,"Australia","Adidas",0,NA,0,0,0
28,"Male",142,999,39,"Australia","Asics",1,273,0,0,0
19,"Male",139,49,15,"Australia","Saucony",2,228,0,0,1
32,"Male",175,73,69,"Australia","Saucony",1,311,0,0,0
44,"Male",168,69,33,"US","Adidas",6,268,0,0,0
39,"Male",179,81,50,"Australia","Nike",5,323,0,0,0
25,"Male",176,80,24,"US","Adidas",2,304,0,0,1
37,"Female",177,72,33,"Australia","Asics",4,293,0,0,0
22,"Female",184,82,52,"Australia","Brooks",3,297,1,1,1
20,"Male",182,75,28,"Australia","Saucony",1,216,0,0,0
23,"Male",159,70,53,"US","Adidas",2,267,0,1,1
28,"Male",166,67,28,"Australia","Brooks",2,250,0,0,0
20,"Male",172,78,-9,"Australia","Nike",4,229,0,0,1
44,"Female",152,59,64,"Australia","Nike",1,280,0,0,0
30,"Female",179,78,44,"Australia","Saucony",1,353,0,0,0
30,"Female",179,68,13,"Kenya","Saucony",1,262,0,0,0
36,"Male",173,68,35,"Australia","Asics",2,284,0,0,0
33,"Male",157,62,71,"Australia","Nike",3,253,0,0,0
23,"Male",178,72,30,"Australia","Asics",8,273,0,0,1
25,"Male",152,59,32,"US","Nike",3,245,0,0,1
24,"Male",171,76,67,"US","Brooks",2,278,1,1,1
22,"Female",163,70,40,"US","Nike",1,201,0,0,0
26,"Male",188,78,30,"Australia","Adidas",1,319,0,0,0
23,"Male",184,87,7,"Australia","Nike",0,NA,0,0,0
22,"Male",172,76,16,"Australia","Nike",1,333,0,0,0
41,"Male",159,62,53,"Australia","Adidas",4,361,0,0,1
21,"Male",167,70,20,"Germany","Asics",1,288,0,1,1
31,"Male",162,66,41,"Australia","Nike",1,263,0,1,1
27,"Male",155,60,40,"Australia","Saucony",2,285,0,0,0
22,"Male",179,74,26,"Australia","Adidas",2,245,0,0,0
20,"Male",177,78,25,"Australia","Adidas",2,223,0,0,0
26,"Female",151,60,25,"Australia","Brooks",2,283,0,0,0
21,"Female",164,67,39,"Australia","Brooks",4,223,0,0,0
18,"Male",174,76,57,"US",NA,2,291,0,0,0
